Date,City,Altitude(m),Temperature(Â°C),Humidity(%),WindSpeed(km/h),Rainfall
2025-10-01,Thiruvananthapuram,64,30.2,78,10.5,0
2025-10-01,Nedumangad,70,30.0,80,9.8,1
2025-10-01,Varkala,60,30.8,81,10.0,0
2025-10-01,Kollam,7,30.5,80,9.2,1
2025-10-01,Karunagappally,10,30.4,82,8.8,1
2025-10-01,Punalur,56,29.6,85,7.5,1
2025-10-01,Pathanamthitta,40,29.1,85,7.4,0
2025-10-01,Adoor,38,29.5,83,8.2,0
2025-10-01,Ranni,65,28.8,84,7.8,1
2025-10-01,Kozhencherry,55,29.0,86,7.6,0
2025-10-02,Alappuzha,10,31.0,80,9.1,1
2025-10-02,Cherthala,12,31.0,82,8.9,1
2025-10-02,Kayamkulam,5,30.6,81,8.7,0
2025-10-02,Kottayam,3,30.4,81,8.3,1
2025-10-02,Changanassery,12,30.2,79,8.0,1
2025-10-02,Pala,33,29.8,83,7.9,1
2025-10-02,Ettumanoor,22,30.0,80,7.8,1
2025-10-02,Erattupetta,1100,22.3,86,7.2,1
2025-10-02,Idukki,1200,23.5,88,6.8,1
2025-10-02,Munnar,1532,20.4,85,6.1,0
2025-10-02,Vagamon,1100,22.3,86,7.2,1
2025-10-02,Peerumedu,915,21.5,87,6.9,1
2025-10-02,Kattappana,960,22.0,88,7.1,1
2025-10-03,Ernakulam,9,30.0,79,10.1,0
2025-10-03,Kochi,9,29.8,82,12.2,0
2025-10-03,Perumbavoor,40,30.2,78,9.5,1
2025-10-03,Muvattupuzha,38,29.6,80,8.9,1
2025-10-03,Kothamangalam,45,29.4,81,9.0,1
2025-10-03,Thrissur,2,31.1,74,9.7,0
2025-10-03,Chalakudy,10,30.8,77,10.0,0
2025-10-03,Kodungallur,8,31.2,76,9.8,0
2025-10-03,Irinjalakuda,14,31.0,78,9.6,0
2025-10-03,Guruvayur,14,31.2,78,9.6,0
2025-10-03,Palakkad,84,33.0,65,11.3,0
2025-10-03,Ottappalam,54,32.0,68,10.5,0
2025-10-03,Shoranur,110,31.8,67,10.2,0
2025-10-03,Malampuzha,82,32.5,70,10.7,0
2025-10-03,Malappuram,46,31.0,75,9.0,0
2025-10-03,Manjeri,70,30.5,77,8.5,1
2025-10-03,Perinthalmanna,65,30.2,80,8.3,1
2025-10-03,Nilambur,48,30.1,82,8.1,0
2025-10-04,Kozhikode,10,30.0,76,8.4,0
2025-10-04,Vadakara,18,30.2,78,9.0,1
2025-10-04,Koyilandy,14,29.8,80,8.6,0
2025-10-04,Wayanad,2100,22.0,90,7.4,1
2025-10-04,Mananthavady,760,25.0,87,7.1,1
2025-10-04,Sulthan Bathery,900,23.0,88,7.3,0
2025-10-04,Kalpetta,780,24.5,89,7.5,1
2025-10-04,Kannur,5,31.5,73,10.2,0
2025-10-04,Taliparamba,25,31.0,74,9.8,0
2025-10-04,Payyannur,15,30.9,75,9.9,1
2025-10-04,Kasaragod,19,31.8,71,11.1,0
2025-10-04,Kanhangad,29,31.3,75,10.0,0
2025-10-04,Bekal,15,31.0,73,10.3,0
2025-10-04,Thodupuzha,40,29.4,82,8.0,0